Month-Year,Murder,Att.to.Murder,Dacoity,Prep.for Dacoity,Robbery (Excluding Chain Snatching),Robbery -Chain Snatching,Att.to.C.Robbery,Extortion,H.B.T.Day,H.B.T.Night.,Thefts,Pocket Picking,M.V.Thefts.,Hurt,Riots,Rape,Other I.P.C
Jan-13,13,6,2,1,52,163,4,28,28,189,467,27,324,294,32,27,1204
Feb-13,15,14,4,2,44,161,2,24,26,156,432,12,274,295,33,30,992
Mar-13,11,25,7,4,55,138,5,19,44,206,600,17,318,396,39,32,1150
Apr-13,14,19,5,2,63,205,2,18,60,204,655,17,347,429,36,27,1131
May-13,16,11,2,0,50,189,2,13,38,186,506,16,320,352,23,40,964
Jun-13,9,7,3,3,60,167,5,13,50,215,474,22,302,249,21,25,957
Jul-13,18,16,2,2,44,165,2,19,48,196,522,18,364,236,21,18,892
Aug-13,8,20,4,2,74,165,3,17,23,212,538,14,289,324,36,23,1134
Sep-13,12,16,3,2,46,192,5,16,56,198,562,20,309,290,24,34,1024
Oct-13,26,18,3,0,63,195,3,22,43,187,601,14,347,409,29,25,1234
Nov-13,9,20,1,1,60,167,8,19,44,223,560,10,290,351,32,28,1060
Dec-13,13,11,3,0,80,198,3,22,50,241,637,14,305,296,29,39,1148
Jan-14,12,16,6,3,73,157,4,19,34,214,541,11,335,353,52,37,1183
Feb-14,9,13,2,0,60,179,5,21,27,187,505,17,282,318,39,33,1112
Mar-14,17,25,6,3,75,120,3,12,45,225,546,16,306,408,39,55,1380
Apr-14,17,19,2,1,65,77,6,16,47,185,503,10,230,333,36,52,1209
May-14,9,15,3,0,49,112,3,17,51,263,527,21,316,348,23,49,1169
Jun-14,20,22,1,0,52,99,4,22,50,199,527,16,338,375,40,48,1281
Jul-14,10,8,3,1,43,78,5,16,38,209,582,6,331,229,32,46,1088
Aug-14,16,13,0,0,58,122,1,24,47,247,545,22,308,346,16,55,1149
Sep-14,10,15,2,1,46,94,3,20,45,210,535,13,249,296,28,48,1236
Oct-14,19,17,2,2,61,130,3,21,40,206,491,8,237,438,50,33,1044
Nov-14,16,11,0,3,54,122,3,17,55,187,544,13,255,340,35,41,2944
Dec-14,13,9,2,0,63,105,5,31,42,197,597,10,287,330,18,47,4112
Jan-15,10,14,0,4,82,60,1,15,41,228,496,10,243,373,29,49,1601
Feb-15,12,9,2,1,52,82,5,24,36,197,475,14,253,314,22,50,1633
Mar-15,16,13,0,4,36,80,6,23,46,203,553,13,247,430,20,60,1753
Apr-15,11,15,5,2,46,117,5,21,30,221,638,8,301,412,32,58,1746
May-15,11,19,1,1,51,96,5,27,40,236,605,16,272,404,34,50,1485
Jun-15,18,16,4,2,64,46,4,19,35,219,523,7,291,340,22,35,1373
Jul-15,10,39,8,1,72,79,11,22,38,247,628,13,283,422,38,54,1673
Aug-15,18,19,3,3,80,78,3,27,36,250,677,7,304,321,35,57,1604
Sep-15,16,23,5,5,67,60,3,14,34,193,606,10,288,392,52,40,1753
Oct-15,6,28,3,2,75,66,1,15,30,192,638,16,307,488,60,69,1999
Nov-15,16,20,4,3,64,81,5,16,27,198,572,22,261,396,23,43,1722
Dec-15,17,10,3,1,71,65,1,29,38,192,555,16,261,333,29,48,2751
Jan-16,17,17,1,2,60,67,1,24,41,195,607,16,252,336,44,60,1619
Feb-16,8,17,2,3,47,48,3,17,37,153,475,10,255,368,38,69,1514
Mar-16,11,12,8,1,61,35,0,29,38,152,489,16,249,455,38,48,1779
Apr-16,8,19,6,0,62,33,1,28,39,157,571,5,252,397,43,56,1541
May-16,11,16,4,0,52,47,5,27,35,198,586,6,276,434,47,42,1743
Jun-16,16,18,2,2,71,30,2,16,24,181,600,11,264,378,52,45,1551
Jul-16,9,23,3,0,56,30,0,14,27,240,617,7,253,324,29,41,1487
Aug-16,16,24,5,5,91,35,0,20,37,199,534,15,242,317,36,56,1556
Sep-16,14,19,3,2,51,39,1,19,31,185,563,14,253,334,30,54,1417
Oct-16,7,21,3,1,55,42,5,14,38,162,628,11,298,415,52,43,1509
Nov-16,8,10,3,0,51,26,2,9,25,163,437,5,253,362,32,46,1452
Dec-16,14,10,1,1,45,13,3,10,30,159,497,8,269,361,31,66,2381
Jan-17,13,19,1,0,72,14,2,9,30,184,580,6,272,380,34,35,1482
Feb-17,10,4,1,1,42,7,1,5,30,142,462,8,222,340,30,39,1270
Mar-17,11,22,2,0,74,16,3,21,33,164,596,11,225,450,43,69,1615
Apr-17,7,18,5,1,60,17,2,12,36,146,559,8,223,382,32,58,1524
May-17,13,17,1,1,82,18,4,16,37,165,517,8,235,416,33,55,1507
Jun-17,11,21,1,0,68,14,3,13,20,137,493,16,272,402,42,51,1419
Jul-17,8,16,4,0,67,15,2,21,26,181,545,16,222,341,42,61,1609
Aug-17,6,8,3,1,68,22,4,21,32,174,519,8,245,333,29,57,1613
Sep-17,11,22,2,1,80,13,3,17,37,203,574,10,245,404,26,49,1822
Oct-17,12,22,1,0,65,16,4,20,31,194,565,8,246,489,41,51,2020
Nov-17,11,11,1,1,62,5,4,18,30,173,552,6,229,404,48,75,2069
Dec-17,7,16,4,2,80,12,4,21,33,172,633,10,376,377,38,57,2408
Jan-18,10,23,1,5,83,10,5,20,38,182,534,5,344,481,101,64,1719
Feb-18,7,20,2,1,78,10,1,21,26,155,528,2,295,385,46,57,1583
Mar-18,12,20,6,0,85,11,5,23,37,160,545,3,301,501,53,67,1761
Apr-18,19,25,4,1,67,7,2,13,24,145,561,8,262,431,37,72,1954
May-18,16,18,4,0,67,13,4,16,24,141,484,8,248,428,44,60,1481
Jun-18,21,22,1,3,64,13,6,17,14,140,442,7,232,409,41,55,1462
Jul-18,13,15,2,2,77,9,1,17,20,183,496,6,217,380,26,74,1425
Aug-18,9,27,2,3,82,19,3,27,28,179,530,9,230,394,44,62,1610
Sep-18,16,24,1,0,72,16,4,16,24,181,465,5,258,458,40,59,1457
Oct-18,14,29,2,1,80,26,5,21,21,155,559,9,306,542,47,66,2269
Nov-18,11,27,1,0,78,20,4,21,25,170,507,6,266,460,29,66,2427
Dec-18,11,27,2,2,63,12,3,14,25,145,541,1,243,342,27,62,3076
Jan-19,10,28,3,0,89,9,1,19,20,140,454,4,215,353,33,65,2118
Feb-19,10,27,0,2,79,11,1,25,20,141,422,3,223,362,43,65,1771
Mar-19,14,23,0,1,84,11,6,11,23,145,480,3,199,397,36,69,1866
Apr-19,19,26,1,3,67,20,5,17,17,129,390,4,216,360,28,84,1500
May-19,8,21,2,1,55,13,7,17,35,126,505,6,213,392,31,81,1594
Jun-19,15,25,2,0,83,15,2,16,28,157,497,5,229,453,39,91,2140
Jul-19,14,37,0,2,86,12,2,26,36,167,535,6,265,307,19,68,2167
Aug-19,15,21,2,1,87,23,8,22,25,165,480,4,226,318,14,69,1870
Sep-19,11,34,1,1,62,6,3,23,23,144,484,3,209,311,35,64,1529
Oct-19,17,36,1,1,75,9,6,16,27,132,521,9,219,390,38,69,1583
Nov-19,11,27,3,0,82,9,3,29,26,164,527,5,224,369,26,70,1880
Dec-19,14,37,3,4,92,18,4,32,25,144,537,4,255,369,33,86,3701
Jan-20,7,34,1,4,81,11,6,25,30,161,506,8,246,372,29,80,1996
Feb-20,20,30,2,2,77,17,3,37,24,118,482,1,202,389,22,70,2062
Mar-20,12,27,1,2,51,14,4,13,9,101,301,0,193,324,42,73,2493
Apr-20,8,11,0,0,16,0,1,4,5,61,34,0,84,134,14,17,5314
May-20,10,19,1,0,10,2,0,4,1,48,50,1,158,252,24,19,1933
Jun-20,13,36,0,0,19,12,2,9,4,101,125,1,235,302,12,46,4880
Jul-20,10,18,3,0,34,5,0,12,13,163,209,1,241,224,24,48,7822
Aug-20,10,24,2,1,49,16,4,16,13,158,282,0,250,249,18,54,2242
Sep-20,14,23,1,1,51,15,2,16,17,159,280,1,293,329,25,78,2227
Oct-20,17,55,2,3,63,16,6,21,17,143,392,4,322,464,34,80,2265
Nov-20,12,38,0,2,73,20,6,22,21,131,358,2,294,442,42,65,1730
Dec-20,11,25,1,10,55,10,1,26,16,131,397,1,286,346,32,62,1903
Jan-21,12,36,1,7,77,12,0,31,30,146,409,3,325,341,30,75,1606
Feb-21,15,31,2,7,60,12,3,31,23,130,348,2,248,359,21,73,1662
Mar-21,15,34,2,1,61,14,5,25,16,99,365,1,329,435,27,70,2508
Apr-21,7,27,1,1,38,4,2,12,10,85,258,0,198,321,27,66,7980
May-21,22,42,0,0,51,6,4,21,9,95,302,1,247,419,33,71,13749
Jun-21,19,35,1,3,42,15,2,22,11,130,340,2,276,323,29,66,7741
Jul-21,9,32,3,0,63,19,3,36,14,159,387,1,275,313,23,58,4231
Aug-21,6,24,0,3,59,15,7,19,19,153,444,1,301,337,35,59,2053
Sep-21,8,22,1,1,77,11,3,14,23,122,421,2,262,310,27,66,1648
Oct-21,22,21,0,5,73,15,3,19,28,125,430,2,310,401,25,54,1577
Nov-21,12,24,1,1,54,18,3,20,25,114,376,4,236,421,27,58,1383
Dec-21,10,17,2,5,58,8,2,27,22,98,435,2,270,282,19,55,1850
Jan-22,8,12,2,3,64,9,1,18,18,101,328,0,242,318,17,62,1422
Feb-22,13,18,1,4,55,21,1,18,16,107,343,4,194,291,22,56,1567
Mar-22,8,21,1,1,92,29,3,22,26,127,862,0,285,506,36,79,6150
Apr-22,12,28,0,2,148,16,5,35,29,131,3420,2,287,485,45,88,8704
May-22,10,30,0,1,87,22,2,29,27,130,2939,0,308,498,26,95,7342
Jun-22,17,26,1,1,74,12,1,45,17,117,2366,2,309,396,26,73,6809
Jul-22,16,17,0,0,65,22,4,34,20,126,1163,1,275,300,15,73,3104
Aug-22,10,14,1,0,50,12,2,27,18,141,860,0,238,355,12,58,1478
Sep-22,5,25,4,2,63,16,1,22,26,117,708,1,235,355,18,67,1472
Oct-22,12,22,2,1,53,13,1,15,18,100,678,0,225,454,17,70,1525
Nov-22,6,15,1,1,56,9,1,17,18,95,532,3,203,304,25,65,1704
Dec-22,11,17,0,0,46,8,2,22,17,80,601,1,256,395,22,92,2024
Jan-23,10,18,3,3,58,9,2,18,21,94,519,3,238,351,27,78,1560
Feb-23,10,24,1,1,51,7,2,21,17,93,427,0,193,365,24,60,1522
Mar-23,7,30,3,2,57,12,3,30,19,62,520,2,205,439,32,90,1800
Apr-23,10,21,2,3,46,12,2,17,16,87,493,0,183,410,25,78,2179
May-23,14,23,0,1,50,9,1,23,19,106,465,1,225,369,12,77,1778
Jun-23,16,19,2,3,45,14,0,18,17,72,454,0,240,351,20,64,1526
Jul-23,5,15,1,0,55,7,1,23,27,107,484,4,215,266,19,72,2164
Aug-23,9,29,3,5,63,7,2,24,21,92,603,1,252,324,19,78,2362
Sep-23,5,28,2,4,61,9,0,21,20,94,806,2,200,318,26,60,2338
Oct-23,12,28,0,1,57,18,0,17,20,92,691,0,264,437,36,83,2523
Nov-23,8,41,2,0,45,7,3,17,15,85,662,1,229,428,29,53,2585
Dec-23,10,16,2,0,55,4,4,29,19,81,554,1,227,390,17,80,3615
